event_id,protected_area,event_date,normal_movement,observed_movement,anomaly_score,latitude,longitude
EVT-2897DC00,Tsavo Ecosystem,2024-01-09,2.5,18.87,1.0,-2.03852,39.32017
EVT-C6FC90D4,Serengeti Buffer,2024-01-15,7.68,7.61,0.002,-3.47921,35.38313
EVT-F7D17A83,Sundarbans,2024-01-30,5.04,5.74,0.028,21.95408,89.27592
EVT-6A58C998,Tsavo Ecosystem,2024-02-19,7.99,7.88,0.003,-3.08337,39.09892
EVT-D0BFD6DA,Serengeti Buffer,2024-02-20,4.54,5.86,0.058,-3.17939,34.7886
EVT-7FA12602,Anamalai Tiger Reserve,2024-03-02,6.35,5.6,0.024,10.21495,77.02666
EVT-7C7227C4,Sundarbans,2024-03-10,4.65,3.59,0.046,22.11622,89.49016
EVT-8547B8A7,Sundarbans,2024-03-17,4.02,3.95,0.003,22.28637,88.64801
EVT-80447584,Sundarbans,2024-04-19,5.7,5.79,0.003,22.29425,88.5583
EVT-2E6E7486,Serengeti Buffer,2024-04-20,2.29,1.45,0.073,-1.94007,34.88545
EVT-4E2E3644,Nilgiri Biosphere,2024-05-04,4.95,6.12,0.047,11.73021,76.25049
EVT-D1D91B4A,Sundarbans,2024-05-24,6.99,6.23,0.022,22.0165,88.50972
EVT-0C8A9046,Sundarbans,2024-05-26,5.42,5.63,0.008,22.41911,89.01127
EVT-CC450876,Sundarbans,2024-06-09,2.48,1.48,0.081,22.44044,89.2007
EVT-02F2408C,Anamalai Tiger Reserve,2024-06-14,5.71,4.68,0.036,10.34194,76.94982
EVT-8E7FB630,Nilgiri Biosphere,2024-06-15,3.07,1.66,0.092,10.84378,77.12536
EVT-378DEF92,Anamalai Tiger Reserve,2024-06-23,6.55,7.61,0.032,10.33978,77.02429
EVT-252A9AA7,Serengeti Buffer,2024-07-05,6.66,6.53,0.004,-2.63178,35.2906
EVT-3AE945D7,Nilgiri Biosphere,2024-07-13,7.83,7.18,0.017,11.76972,76.02656
EVT-364CAE68,Nilgiri Biosphere,2024-07-14,6.21,7.08,0.028,10.85978,76.77349
EVT-EA200636,Serengeti Buffer,2024-07-21,5.01,5.83,0.033,-2.50202,34.12762
EVT-738EB05A,Tsavo Ecosystem,2024-07-22,3.71,4.09,0.02,-3.08845,37.99479
EVT-E7888685,Tsavo Ecosystem,2024-07-28,7.61,7.76,0.004,-2.72546,39.2418
EVT-5AFB732D,Anamalai Tiger Reserve,2024-08-02,5.25,6.15,0.034,10.34473,76.88315
EVT-0FEE4A94,Sundarbans,2024-08-13,7.46,7.25,0.006,22.18853,89.39864
EVT-4E7735FB,Anamalai Tiger Reserve,2024-08-16,5.78,0.89,0.169,10.60144,76.89668
EVT-89CB6CF8,Anamalai Tiger Reserve,2024-08-20,3.18,4.08,0.057,10.58874,77.31379
EVT-36946B80,Serengeti Buffer,2024-08-24,4.95,4.41,0.022,-2.36808,35.05071
EVT-EBD21F4E,Serengeti Buffer,2024-08-27,6.1,6.9,0.026,-1.45238,34.2848
EVT-B76BD96E,Nilgiri Biosphere,2024-08-28,6.14,6.71,0.019,11.76883,76.69729
EVT-876820C2,Tsavo Ecosystem,2024-09-08,7.09,5.8,0.036,-2.34807,38.64328
EVT-B6078328,Sundarbans,2024-09-19,5.93,6.74,0.027,21.69049,88.84452
EVT-B340FA1B,Serengeti Buffer,2024-10-04,5.94,6.15,0.007,-2.53667,34.28968
