link_id,source_entity,source_id,target_entity,target_id,link_type,confidence,supporting_evidence,risk_score
LNK-E0DEA8A7,ACTOR,ACT-A3B509D1,ACTOR,ACT-DUP-0003,ENTITY_MATCH,93.28,"Similar name (92%); Similar alias (81%); Same nationality (Indian); Same region (Tamil Nadu); Shared corridor (Visakhapatnam–Mombasa, Chennai Port–Mombasa)",83.95
LNK-0CBF57AB,INCIDENT,INC-AE29A212,INCIDENT,INC-C435FC84,TEMPORAL_OVERLAP,80.0,"Same route, 6-day temporal proximity, same species.",80.0
LNK-EE8AC46D,INCIDENT,INC-E5D4001B,INCIDENT,INC-4E49C454,TEMPORAL_OVERLAP,80.0,"Same route, 3-day temporal proximity, same species.",80.0
LNK-E7944C03,INCIDENT,INC-B23B2358,INCIDENT,INC-A251BBF1,TEMPORAL_OVERLAP,80.0,"Same route, 8-day temporal proximity, same species.",80.0
LNK-1DA42564,INCIDENT,INC-49772DB9,INCIDENT,INC-35C14236,TEMPORAL_OVERLAP,80.0,"Same route, 12-day temporal proximity, same species.",80.0
LNK-A9329DE3,INCIDENT,INC-F0F43572,INCIDENT,INC-78AFF1CC,TEMPORAL_OVERLAP,80.0,"Same route, 13-day temporal proximity, same species.",80.0
LNK-C31E6ECD,INCIDENT,INC-5B989C61,INCIDENT,INC-7EE564E7,TEMPORAL_OVERLAP,80.0,"Same route, 0-day temporal proximity, same species.",80.0
LNK-15768C80,INCIDENT,INC-8C43E7FC,INCIDENT,INC-93B3BAA0,TEMPORAL_OVERLAP,80.0,"Same route, 12-day temporal proximity, same species.",80.0
LNK-84B4B4D4,INCIDENT,INC-17D6DB38,INCIDENT,INC-C378F9D9,TEMPORAL_OVERLAP,80.0,"Same route, 5-day temporal proximity, same species.",80.0
LNK-CD753496,INCIDENT,INC-322254E2,INCIDENT,INC-4CF654A6,TEMPORAL_OVERLAP,80.0,"Same route, 13-day temporal proximity, same species.",80.0
LNK-A9B8232E,INCIDENT,INC-27AF02AC,INCIDENT,INC-5EF621B3,TEMPORAL_OVERLAP,80.0,"Same route, 3-day temporal proximity, same species.",80.0
LNK-E48481FE,INCIDENT,INC-5814A5A3,INCIDENT,INC-DA76F294,TEMPORAL_OVERLAP,80.0,"Same route, 7-day temporal proximity, same species.",80.0
