incident_id,incident_date,species,commodity,quantity,source_location,destination,route_id,lead_actor,seizure_status,latitude,longitude,network_id
INC-1C5B91BF,2024-01-04,Pangolin,scales,6,Tuticorin Port,Durban,RTE-68716855,ACT-4C5661F3,Not Seized,8.29057,78.01126,
INC-0EC4B271,2024-01-05,Rhino,horn,14,Visakhapatnam,Mombasa,RTE-32F0E94F,ACT-DD3ED62E,Seized,18.08535,83.32493,NET-03
INC-73CA5741,2024-01-10,Elephant,ivory tusk,3,Mumbai Port,Mombasa,RTE-F2391A9E,ACT-239810D5,Not Seized,19.14126,72.89505,
INC-5A9D0819,2024-01-13,Rhino,horn,26,Tuticorin Port,Dar es Salaam,RTE-50CAC933,ACT-F73F1F34,Seized,9.14097,77.97688,
INC-E68D0BDF,2024-01-22,Pangolin,scales,7,Tuticorin Port,Mombasa,RTE-367D804C,ACT-0E08ABDD,Not Seized,8.91341,78.38084,
INC-5E8DF0E8,2024-01-24,Leopard,skin,7,Mumbai Port,Mombasa,RTE-FB4EE4BA,ACT-CFAB48FB,Not Seized,18.78951,73.10259,
INC-15999B13,2024-01-30,Elephant,ivory tusk,11,Visakhapatnam,Mombasa,RTE-842CC51F,ACT-480A6546,Not Seized,17.7024,83.20735,
INC-CC3301EE,2024-02-08,Elephant,ivory tusk,1,Kochi Port,Dar es Salaam,RTE-9EC78713,ACT-A19B3B13,Under Investigation,9.63618,76.06045,
INC-F3B15553,2024-02-10,Pangolin,scales,24,Mumbai Port,Mombasa,RTE-FB4EE4BA,ACT-6F081E40,Under Investigation,18.51726,72.36075,NET-05
INC-0D9BA78C,2024-02-14,Elephant,ivory tusk,7,Mumbai Port,Mombasa,RTE-EA4FA88B,ACT-451B57E0,Seized,19.00958,72.6915,
INC-A23E05D2,2024-02-14,Rhino,horn,28,Tuticorin Port,Durban,RTE-3BE0D749,ACT-F513E9F2,Under Investigation,8.8226,78.05902,
INC-CFDECC5B,2024-02-20,Leopard,skin,26,Kochi Port,Maputo,RTE-844D2BD8,ACT-DUP-0002,Not Seized,9.7566,76.51379,NET-04
INC-8FBA0CAB,2024-02-27,Leopard,skin,31,Kochi Port,Durban,RTE-F534A60F,ACT-2DA4F2E3,Not Seized,9.77946,76.28129,
INC-5ED074E5,2024-03-08,Rhino,horn,4,Tuticorin Port,Maputo,RTE-6502C0EF,ACT-525CFB31,Under Investigation,8.61433,77.69264,
INC-01D7FC4F,2024-03-11,Pangolin,scales,28,Mumbai Port,Mombasa,RTE-FB4EE4BA,ACT-EBD0B65D,Seized,18.98043,72.96888,
INC-A8C18B51,2024-03-20,Pangolin,scales,13,Chennai Port,Dar es Salaam,RTE-22651175,ACT-516B220E,Not Seized,12.85692,80.75468,
INC-6DD32668,2024-03-22,Pangolin,scales,65,Visakhapatnam,Dar es Salaam,RTE-B5BE3EA8,ACT-ADB13586,Seized,17.24715,82.9656,
INC-0900EA33,2024-03-25,Elephant,ivory tusk,6,Tuticorin Port,Maputo,RTE-15641305,ACT-2F205955,Under Investigation,9.03547,77.70884,NET-02
INC-1632354A,2024-03-25,Pangolin,scales,21,Mumbai Port,Dar es Salaam,RTE-BE75B5F4,ACT-898A30A1,Not Seized,18.76746,73.00792,
INC-A3DFB62E,2024-03-26,Pangolin,scales,10,Kochi Port,Dar es Salaam,RTE-4424DBF1,ACT-5BCEA423,Seized,10.02415,75.93082,
INC-C3E926DF,2024-03-28,Pangolin,scales,8,Mumbai Port,Mombasa,RTE-A6BAB08D,ACT-40058B0F,Seized,18.59166,72.58136,
INC-3B76D32D,2024-03-28,Leopard,skin,9,Tuticorin Port,Maputo,RTE-15641305,ACT-DUP-0010,Under Investigation,8.66118,78.082,
INC-023A4B6B,2024-04-03,Pangolin,scales,14,Tuticorin Port,Mombasa,RTE-367D804C,ACT-A05EB96B,Seized,8.71559,77.79842,
INC-D24AB0E3,2024-04-08,Elephant,ivory tusk,25,Chennai Port,Dar es Salaam,RTE-674B55E3,ACT-C48421F9,Not Seized,12.85076,80.39485,
INC-A50D090A,2024-04-16,Pangolin,scales,19,Tuticorin Port,Maputo,RTE-6502C0EF,ACT-4A810E54,Seized,8.71161,78.16742,
INC-E8CE8DB8,2024-04-16,Elephant,ivory tusk,3,Mumbai Port,Durban,RTE-5A090E6C,ACT-DUP-0008,Not Seized,18.78637,73.00031,
INC-2DDB92C7,2024-04-18,Elephant,ivory tusk,1,Chennai Port,Dar es Salaam,RTE-22651175,ACT-5B9A50EE,Not Seized,12.66043,80.74509,
INC-5B989C61,2024-04-20,Leopard,skin,16,Kochi Port,Maputo,RTE-844D2BD8,ACT-DUP-0002,Not Seized,10.06234,76.56211,NET-04
INC-7EE564E7,2024-04-20,Leopard,skin,6,Kochi Port,Maputo,RTE-844D2BD8,ACT-0BE618C7,Not Seized,10.36735,76.46333,NET-04
INC-B0143C0C,2024-04-25,Elephant,ivory tusk,26,Tuticorin Port,Maputo,RTE-15641305,ACT-2F205955,Seized,9.16029,77.9528,NET-02
INC-F315480D,2024-04-26,Rhino,horn,7,Visakhapatnam,Mombasa,RTE-32F0E94F,ACT-516B220E,Seized,18.07389,83.49838,NET-03
INC-60CEEFAB,2024-04-26,Pangolin,scales,96,Tuticorin Port,Mombasa,RTE-C3C4BB2E,ACT-866A9666,Seized,9.16225,77.83994,
INC-2E6A776F,2024-04-27,Rhino,horn,25,Kochi Port,Dar es Salaam,RTE-D37D6F20,ACT-DUP-0004,Seized,10.33122,76.12072,
INC-519C9B4B,2024-04-30,Pangolin,scales,2,Tuticorin Port,Durban,RTE-12678A58,ACT-7494AE24,Not Seized,8.29417,77.94273,
INC-D394A13C,2024-05-02,Elephant,ivory tusk,5,Visakhapatnam,Mombasa,RTE-EF6F0110,ACT-D404B1E6,Not Seized,17.19256,83.04309,
INC-01E8CFE1,2024-05-04,Leopard,skin,24,Chennai Port,Dar es Salaam,RTE-674B55E3,ACT-A05EB96B,Seized,13.50357,79.83178,
INC-F1B64D6B,2024-05-05,Leopard,skin,3,Mumbai Port,Mombasa,RTE-EA4FA88B,ACT-34C1CDB5,Not Seized,19.24832,72.99064,
INC-7A314C1F,2024-05-06,Elephant,ivory tusk,4,Kochi Port,Durban,RTE-15E430E6,ACT-7353F8D0,Not Seized,9.9294,76.32266,
INC-6D25D6CE,2024-05-12,Elephant,ivory tusk,16,Tuticorin Port,Maputo,RTE-15641305,ACT-DUP-0001,Under Investigation,8.96722,77.99843,NET-02
INC-78F43FAB,2024-05-16,Pangolin,scales,2,Tuticorin Port,Mombasa,RTE-C3C4BB2E,ACT-7494AE24,Not Seized,9.19496,78.49321,
INC-4832DCE1,2024-05-20,Pangolin,scales,3,Visakhapatnam,Durban,RTE-D5B7DEF5,ACT-6C6CC66E,Not Seized,18.07733,83.31209,
INC-1D3F2B36,2024-05-21,Pangolin,scales,17,Mumbai Port,Mombasa,RTE-FB4EE4BA,ACT-DUP-0007,Not Seized,19.08122,72.36191,NET-05
INC-BD1CBF34,2024-05-21,Pangolin,scales,19,Visakhapatnam,Mombasa,RTE-32F0E94F,ACT-2D0BDD94,Under Investigation,18.05834,83.69199,
INC-3B7B78A7,2024-05-30,Rhino,horn,1,Kochi Port,Durban,RTE-EFEFC83E,ACT-C1CE62FB,Not Seized,9.58374,76.34359,
INC-3ED8334F,2024-06-02,Elephant,ivory tusk,16,Chennai Port,Dar es Salaam,RTE-674B55E3,ACT-DUP-0006,Not Seized,12.62967,79.93698,
INC-C1488574,2024-06-04,Elephant,ivory tusk,16,Chennai Port,Dar es Salaam,RTE-22651175,ACT-99F0286C,Not Seized,13.56273,80.26332,
INC-EA003C6C,2024-06-05,Pangolin,scales,21,Chennai Port,Mombasa,RTE-F51C2F2E,ACT-A7290540,Seized,13.55228,80.54583,NET-01
INC-6E06FEF9,2024-06-08,Elephant,ivory tusk,36,Tuticorin Port,Maputo,RTE-15641305,ACT-A19B3B13,Not Seized,8.73641,77.75439,NET-02
INC-D7D8E05F,2024-06-08,Pangolin,scales,6,Kochi Port,Dar es Salaam,RTE-D37D6F20,ACT-DUP-0002,Not Seized,9.73849,76.57033,
INC-146BDA30,2024-06-17,Pangolin,scales,13,Visakhapatnam,Durban,RTE-D5B7DEF5,ACT-45C722DA,Not Seized,17.21933,83.63935,
INC-1E296D61,2024-06-25,Pangolin,scales,2,Visakhapatnam,Mombasa,RTE-EF6F0110,ACT-28E1066F,Seized,18.13676,83.50485,
INC-4C54C68E,2024-06-26,Elephant,ivory tusk,8,Tuticorin Port,Maputo,RTE-15641305,ACT-A19B3B13,Under Investigation,9.07232,78.2682,NET-02
INC-D8942366,2024-06-27,Leopard,skin,54,Tuticorin Port,Dar es Salaam,RTE-526A517F,ACT-8AF11CFA,Under Investigation,8.83481,77.66519,
INC-FD6591F7,2024-07-01,Pangolin,scales,11,Tuticorin Port,Mombasa,RTE-C3C4BB2E,ACT-ADB13586,Under Investigation,9.23408,77.67796,
INC-1F9B79FA,2024-07-03,Rhino,horn,2,Visakhapatnam,Mombasa,RTE-32F0E94F,ACT-DC4BFFE4,Seized,18.14925,82.97028,NET-03
INC-B7B4001A,2024-07-06,Pangolin,scales,15,Chennai Port,Mombasa,RTE-F51C2F2E,ACT-A7290540,Not Seized,12.94906,80.22677,NET-01
INC-BBF6FF7D,2024-07-08,Pangolin,scales,1,Mumbai Port,Durban,RTE-857F6451,ACT-0BE618C7,Not Seized,19.02903,72.69637,
INC-E2003313,2024-07-08,Pangolin,scales,19,Visakhapatnam,Mombasa,RTE-837DA83F,ACT-93684B5D,Seized,17.8673,83.37301,
INC-F16B3BA6,2024-07-12,Leopard,skin,18,Kochi Port,Maputo,RTE-844D2BD8,ACT-9150A102,Not Seized,10.29827,76.68054,NET-04
INC-C678EEF3,2024-07-15,Pangolin,scales,1,Mumbai Port,Durban,RTE-5A090E6C,ACT-B1A0AF66,Not Seized,18.67241,72.37749,
INC-5BEA51F2,2024-07-19,Rhino,horn,25,Visakhapatnam,Maputo,RTE-657F736F,ACT-ADF3339E,Under Investigation,17.99247,83.30385,
INC-C431ADBC,2024-07-24,Rhino,horn,13,Mumbai Port,Durban,RTE-857F6451,ACT-EB994163,Not Seized,18.89102,72.56,
INC-F9FFB5E7,2024-08-01,Leopard,skin,1,Kochi Port,Dar es Salaam,RTE-A9A64DEE,ACT-B49444A6,Not Seized,9.88499,76.00335,
INC-B8101499,2024-08-08,Elephant,ivory tusk,4,Visakhapatnam,Mombasa,RTE-32F0E94F,ACT-16E31CC7,Seized,17.87626,83.51909,
INC-8A267DEE,2024-08-10,Pangolin,scales,7,Chennai Port,Dar es Salaam,RTE-22651175,ACT-72D14581,Seized,12.66128,80.16762,
INC-1D3FC12F,2024-08-11,Leopard,skin,12,Chennai Port,Mombasa,RTE-F51C2F2E,ACT-0E08ABDD,Seized,13.05666,80.43826,
INC-976F24FE,2024-08-12,Pangolin,scales,3,Tuticorin Port,Dar es Salaam,RTE-50CAC933,ACT-61CA522C,Not Seized,8.57949,78.17429,
INC-94B20477,2024-08-15,Pangolin,scales,3,Tuticorin Port,Maputo,RTE-15641305,ACT-DUP-0002,Not Seized,8.57551,78.24513,
INC-3911A5DD,2024-08-17,Pangolin,scales,8,Mumbai Port,Durban,RTE-5A090E6C,ACT-DUP-0001,Under Investigation,19.36583,72.39567,
INC-42FE4868,2024-08-17,Pangolin,scales,12,Mumbai Port,Mombasa,RTE-B4DC47C9,ACT-DB3AAE2B,Not Seized,19.13509,72.67527,
INC-00274222,2024-08-18,Rhino,horn,6,Chennai Port,Dar es Salaam,RTE-22651175,ACT-BDA5B9AD,Seized,13.05139,80.18552,
INC-1CDD4560,2024-08-18,Pangolin,scales,8,Kochi Port,Dar es Salaam,RTE-4424DBF1,ACT-28E1066F,Not Seized,9.69095,76.49072,
INC-063C1F2C,2024-08-22,Elephant,ivory tusk,7,Kochi Port,Dar es Salaam,RTE-D37D6F20,ACT-DUP-0008,Not Seized,10.38883,75.9426,
INC-C34BD297,2024-08-23,Elephant,ivory tusk,15,Tuticorin Port,Maputo,RTE-15641305,ACT-DUP-0001,Seized,8.77495,78.05221,NET-02
INC-D7628F86,2024-08-25,Rhino,horn,5,Mumbai Port,Durban,RTE-5A090E6C,ACT-DUP-0003,Under Investigation,19.04041,73.15459,
INC-BF08DBB6,2024-08-28,Elephant,ivory tusk,6,Visakhapatnam,Dar es Salaam,RTE-5CFE009F,ACT-802FEC44,Not Seized,17.85184,82.89387,
INC-10F165CA,2024-08-28,Leopard,skin,11,Mumbai Port,Maputo,RTE-DD5236CF,ACT-DUP-0004,Not Seized,19.2154,73.10632,
INC-D34E63D1,2024-08-31,Rhino,horn,14,Visakhapatnam,Mombasa,RTE-32F0E94F,ACT-516B220E,Not Seized,17.2799,83.61572,NET-03
INC-1B2B6136,2024-09-01,Pangolin,scales,14,Mumbai Port,Mombasa,RTE-B4DC47C9,ACT-130BC3BE,Under Investigation,19.25363,72.41551,
INC-37F58A26,2024-09-03,Pangolin,scales,3,Mumbai Port,Mombasa,RTE-378A7DE2,ACT-9150A102,Seized,18.93143,72.34675,
INC-60F32002,2024-09-06,Pangolin,scales,7,Mumbai Port,Mombasa,RTE-FB4EE4BA,ACT-DUP-0004,Seized,18.75778,73.18028,NET-05
INC-A1D80761,2024-09-12,Elephant,ivory tusk,6,Kochi Port,Maputo,RTE-E316C151,ACT-B49444A6,Not Seized,10.06346,75.78039,
INC-FE7DD637,2024-09-14,Leopard,skin,13,Kochi Port,Maputo,RTE-844D2BD8,ACT-157A0D7D,Not Seized,10.42125,75.90738,NET-04
INC-C462BE8D,2024-09-15,Pangolin,scales,20,Chennai Port,Durban,RTE-4B8AC9E4,ACT-6E321CE4,Not Seized,12.71028,80.05448,
