target_type,target_id,risk_score,intelligence_confidence,investigation_priority,trade_score,route_score,entity_score,linguistic_score,animal_score,cross_evidence_alignment,evidence_stream_count,evidence_streams,supporting_incidents,supporting_routes,supporting_actors,explanation
ROUTE,RTE-F51C2F2E,81.64,81.67,IMMEDIATE,88.0,84.44,86.85,60.0,0.0,45.0,4,TRADE|ROUTE|ENTITY|LINGUISTIC,INC-EA003C6C|INC-B7B4001A|INC-1D3FC12F|INC-18B3A5B0|INC-17AA367E|INC-A8E89DAC|INC-62F9706C|INC-A87B0AD0|INC-30BA3CAE|INC-BE5B30E7,RTE-F51C2F2E,ACT-DUP-0007|ACT-DUP-0002|ACT-A7290540|ACT-5535B8FF|ACT-DUP-0005,This route shows a high-risk pattern (score 81.6) with coded communication signals detected in associated messages.
ROUTE,RTE-15641305,80.86,81.77,IMMEDIATE,82.08,88.53,84.71,60.0,0.0,45.0,4,TRADE|ROUTE|ENTITY|LINGUISTIC,INC-0900EA33|INC-3B76D32D|INC-B0143C0C|INC-6D25D6CE|INC-6E06FEF9|INC-4C54C68E|INC-94B20477|INC-C34BD297|INC-E52BE33F|INC-37FAC3CA,RTE-15641305,ACT-DUP-0007|ACT-DUP-0002|ACT-130BC3BE|ACT-DUP-0005|ACT-DUP-0001,This route shows a high-risk pattern (score 80.9) with coded communication signals detected in associated messages.
LOCATION,Mombasa,78.04,84.59,HIGH,81.63,76.7,78.18,71.56,0.0,40.0,4,TRADE|ROUTE|ENTITY|LINGUISTIC,INC-0EC4B271|INC-73CA5741|INC-E68D0BDF|INC-5E8DF0E8|INC-15999B13|INC-F3B15553|INC-0D9BA78C|INC-01D7FC4F|INC-C3E926DF|INC-023A4B6B,RTE-32F0E94F|RTE-F2391A9E|RTE-367D804C|RTE-FB4EE4BA|RTE-842CC51F,ACT-DD3ED62E|ACT-239810D5|ACT-0E08ABDD|ACT-CFAB48FB|ACT-480A6546,This location shows a high-risk pattern (score 78.0) with coded communication signals detected in associated messages.
ROUTE,RTE-844D2BD8,73.56,82.88,HIGH,69.54,80.62,70.11,60.0,0.0,45.0,4,TRADE|ROUTE|ENTITY|LINGUISTIC,INC-CFDECC5B|INC-5B989C61|INC-7EE564E7|INC-F16B3BA6|INC-FE7DD637|INC-4BCBFFEF|INC-1773DDC0|INC-589AB78F|INC-43C37A4A|INC-CA1AE4F9,RTE-844D2BD8,ACT-0D3A69A7|ACT-DUP-0002|ACT-8D60BEB9|ACT-F70E04EC|ACT-0BE618C7,This route shows a high-risk pattern (score 73.6) with coded communication signals detected in associated messages.
LOCATION,Mumbai Port,72.98,82.88,HIGH,59.14,69.7,79.45,72.33,0.0,60.0,4,TRADE|ROUTE|ENTITY|LINGUISTIC,INC-73CA5741|INC-5E8DF0E8|INC-F3B15553|INC-0D9BA78C|INC-01D7FC4F|INC-1632354A|INC-C3E926DF|INC-E8CE8DB8|INC-F1B64D6B|INC-1D3F2B36,RTE-F2391A9E|RTE-FB4EE4BA|RTE-EA4FA88B|RTE-BE75B5F4|RTE-A6BAB08D,ACT-239810D5|ACT-CFAB48FB|ACT-6F081E40|ACT-451B57E0|ACT-EBD0B65D,This location shows a high-risk pattern (score 73.0) with coded communication signals detected in associated messages.
LOCATION,Kochi Port,72.73,80.62,HIGH,48.64,78.69,79.28,73.37,0.0,60.0,4,TRADE|ROUTE|ENTITY|LINGUISTIC,INC-CC3301EE|INC-CFDECC5B|INC-8FBA0CAB|INC-A3DFB62E|INC-5B989C61|INC-7EE564E7|INC-2E6A776F|INC-7A314C1F|INC-3B7B78A7|INC-D7D8E05F,RTE-9EC78713|RTE-844D2BD8|RTE-F534A60F|RTE-4424DBF1|RTE-D37D6F20,ACT-A19B3B13|ACT-DUP-0002|ACT-2DA4F2E3|ACT-5BCEA423|ACT-0BE618C7,This location shows a high-risk pattern (score 72.7) with coded communication signals detected in associated messages.
ROUTE,RTE-D37D6F20,71.28,80.84,HIGH,65.9,58.56,87.76,60.0,0.0,60.0,4,TRADE|ROUTE|ENTITY|LINGUISTIC,INC-2E6A776F|INC-D7D8E05F|INC-063C1F2C|INC-FE66FC1A|INC-2C70FAE0|INC-C23A7161|INC-33BF5D05|INC-C9972064|INC-9A927874|INC-32161C4F,RTE-D37D6F20,ACT-DUP-0007|ACT-DUP-0002|ACT-DUP-0005|ACT-DUP-0001|ACT-D404B1E6,This route shows a high-risk pattern (score 71.3) with coded communication signals detected in associated messages.
LOCATION,Maputo,71.05,76.45,HIGH,33.95,94.44,79.94,73.08,0.0,40.0,4,TRADE|ROUTE|ENTITY|LINGUISTIC,INC-CFDECC5B|INC-5ED074E5|INC-0900EA33|INC-3B76D32D|INC-A50D090A|INC-5B989C61|INC-7EE564E7|INC-B0143C0C|INC-6D25D6CE|INC-6E06FEF9,RTE-844D2BD8|RTE-6502C0EF|RTE-15641305|RTE-657F736F|RTE-DD5236CF,ACT-DUP-0002|ACT-525CFB31|ACT-2F205955|ACT-DUP-0010|ACT-4A810E54,This location shows a high-risk pattern (score 71.0) with coded communication signals detected in associated messages.
INCIDENT,INC-EEE150DB,70.22,75.7,HIGH,83.62,88.53,44.54,40.0,0.0,25.0,4,TRADE|ROUTE|ENTITY|LINGUISTIC,INC-EEE150DB,RTE-15641305,ACT-DUP-0001,This incident shows a high-risk pattern (score 70.2).
INCIDENT,INC-C34BD297,70.22,75.7,HIGH,83.62,88.53,44.54,40.0,0.0,25.0,4,TRADE|ROUTE|ENTITY|LINGUISTIC,INC-C34BD297,RTE-15641305,ACT-DUP-0001,This incident shows a high-risk pattern (score 70.2).
INCIDENT,INC-E52BE33F,70.06,78.19,HIGH,68.62,88.53,68.47,40.0,0.0,25.0,4,TRADE|ROUTE|ENTITY|LINGUISTIC,INC-E52BE33F,RTE-15641305,ACT-DUP-0004,This incident shows a high-risk pattern (score 70.1).
ACTOR,ACT-DUP-0007,70.01,80.32,HIGH,73.15,81.51,48.72,60.24,0.0,30.0,4,TRADE|ROUTE|ENTITY|LINGUISTIC,INC-1D3F2B36|INC-BD8D0EED|INC-DC1DE291|INC-30714B3F|INC-40171DBA|INC-92F2DDB3|INC-5319B266|INC-B3F13D55|INC-F4EEC901|INC-D7A578CB,RTE-BE75B5F4|RTE-5A090E6C|RTE-F51C2F2E|RTE-15641305|RTE-D37D6F20,ACT-DUP-0007,This actor shows a high-risk pattern (score 70.0) with coded communication signals detected in associated messages.
LOCATION,Dar es Salaam,69.02,82.79,HIGH,58.2,64.7,77.77,70.9,0.0,40.0,4,TRADE|ROUTE|ENTITY|LINGUISTIC,INC-5A9D0819|INC-CC3301EE|INC-A8C18B51|INC-6DD32668|INC-1632354A|INC-A3DFB62E|INC-D24AB0E3|INC-2DDB92C7|INC-2E6A776F|INC-01E8CFE1,RTE-50CAC933|RTE-9EC78713|RTE-22651175|RTE-B5BE3EA8|RTE-BE75B5F4,ACT-F73F1F34|ACT-A19B3B13|ACT-516B220E|ACT-ADB13586|ACT-898A30A1,This location shows a high-risk pattern (score 69.0) with coded communication signals detected in associated messages.
ACTOR,ACT-DUP-0002,68.59,79.32,HIGH,68.02,88.53,55.99,50.37,0.0,15.0,4,TRADE|ROUTE|ENTITY|LINGUISTIC,INC-CFDECC5B|INC-5B989C61|INC-D7D8E05F|INC-94B20477|INC-A8E89DAC|INC-10093B7D|INC-589AB78F|INC-DA76F294|INC-024F87A5|INC-D10E4C8F,RTE-5A090E6C|RTE-844D2BD8|RTE-F51C2F2E|RTE-15641305|RTE-CB7E8B4C,ACT-DUP-0002,This actor shows a high-risk pattern (score 68.6) with coded communication signals detected in associated messages.
ROUTE,RTE-5A090E6C,67.91,81.02,HIGH,61.62,57.25,84.61,60.0,0.0,45.0,4,TRADE|ROUTE|ENTITY|LINGUISTIC,INC-E8CE8DB8|INC-C678EEF3|INC-3911A5DD|INC-D7628F86|INC-10093B7D|INC-D6764190|INC-BFF12B37|INC-CDA89BFA|INC-6E8E7A45|INC-B49586C7,RTE-5A090E6C,ACT-DUP-0007|ACT-B1A0AF66|ACT-DUP-0002|ACT-DUP-0005|ACT-6AB623B4,This route shows a high-risk pattern (score 67.9) with coded communication signals detected in associated messages.
INCIDENT,INC-D10E4C8F,66.61,73.35,HIGH,82.24,80.62,55.99,20.0,0.0,25.0,4,TRADE|ROUTE|ENTITY|LINGUISTIC,INC-D10E4C8F,RTE-844D2BD8,ACT-DUP-0002,This incident shows a high-risk pattern (score 66.6).
INCIDENT,INC-60F32002,66.5,79.12,HIGH,79.48,63.43,68.47,40.0,0.0,25.0,4,TRADE|ROUTE|ENTITY|LINGUISTIC,INC-60F32002,RTE-FB4EE4BA,ACT-DUP-0004,This incident shows a high-risk pattern (score 66.5).
LOCATION,Tuticorin Port,66.21,75.78,HIGH,26.13,76.59,78.24,71.94,0.0,60.0,4,TRADE|ROUTE|ENTITY|LINGUISTIC,INC-1C5B91BF|INC-5A9D0819|INC-E68D0BDF|INC-A23E05D2|INC-5ED074E5|INC-0900EA33|INC-3B76D32D|INC-023A4B6B|INC-A50D090A|INC-B0143C0C,RTE-68716855|RTE-50CAC933|RTE-367D804C|RTE-3BE0D749|RTE-6502C0EF,ACT-4C5661F3|ACT-F73F1F34|ACT-0E08ABDD|ACT-F513E9F2|ACT-525CFB31,This location shows a high-risk pattern (score 66.2) with coded communication signals detected in associated messages.
INCIDENT,INC-F0F43572,65.9,70.65,HIGH,83.62,88.53,29.09,26.67,0.0,25.0,4,TRADE|ROUTE|ENTITY|LINGUISTIC,INC-F0F43572,RTE-15641305,ACT-A19B3B13,This incident shows a high-risk pattern (score 65.9).
LOCATION,Chennai Port,65.84,75.47,HIGH,24.99,75.27,79.78,72.05,0.0,60.0,4,TRADE|ROUTE|ENTITY|LINGUISTIC,INC-A8C18B51|INC-D24AB0E3|INC-2DDB92C7|INC-01E8CFE1|INC-3ED8334F|INC-C1488574|INC-EA003C6C|INC-B7B4001A|INC-8A267DEE|INC-1D3FC12F,RTE-22651175|RTE-674B55E3|RTE-F51C2F2E|RTE-4B8AC9E4|RTE-A842284A,ACT-516B220E|ACT-C48421F9|ACT-5B9A50EE|ACT-A05EB96B|ACT-DUP-0006,This location shows a high-risk pattern (score 65.8) with coded communication signals detected in associated messages.
ACTOR,ACT-DUP-0004,65.75,74.52,HIGH,70.75,83.99,68.47,22.0,0.0,15.0,4,TRADE|ROUTE|ENTITY|LINGUISTIC,INC-2E6A776F|INC-10F165CA|INC-60F32002|INC-E52BE33F|INC-0EBE2272|INC-60A557B7|INC-A251BBF1|INC-48A7B2CB|INC-4187585A|INC-4E49C454,RTE-DD5236CF|RTE-5A090E6C|RTE-15641305|RTE-F51C2F2E|RTE-D37D6F20,ACT-DUP-0004,This actor shows a high-risk pattern (score 65.8).
INCIDENT,INC-2C59B619,65.38,73.42,HIGH,82.24,80.62,27.76,40.0,0.0,25.0,4,TRADE|ROUTE|ENTITY|LINGUISTIC,INC-2C59B619,RTE-844D2BD8,ACT-0BE618C7,This incident shows a high-risk pattern (score 65.4).
INCIDENT,INC-44A7CA78,65.38,73.42,HIGH,82.24,80.62,27.76,40.0,0.0,25.0,4,TRADE|ROUTE|ENTITY|LINGUISTIC,INC-44A7CA78,RTE-844D2BD8,ACT-0BE618C7,This incident shows a high-risk pattern (score 65.4).
INCIDENT,INC-60B97CF6,65.32,75.08,HIGH,68.62,88.53,36.88,40.0,0.0,25.0,4,TRADE|ROUTE|ENTITY|LINGUISTIC,INC-60B97CF6,RTE-15641305,ACT-5BCEA423,This incident shows a high-risk pattern (score 65.3).
INCIDENT,INC-69DA945D,65.32,75.08,HIGH,68.62,88.53,36.88,40.0,0.0,25.0,4,TRADE|ROUTE|ENTITY|LINGUISTIC,INC-69DA945D,RTE-15641305,ACT-5BCEA423,This incident shows a high-risk pattern (score 65.3).
LOCATION,Visakhapatnam,65.31,79.89,HIGH,39.73,66.36,68.53,70.08,0.0,60.0,4,TRADE|ROUTE|ENTITY|LINGUISTIC,INC-0EC4B271|INC-15999B13|INC-6DD32668|INC-F315480D|INC-D394A13C|INC-4832DCE1|INC-BD1CBF34|INC-146BDA30|INC-1E296D61|INC-1F9B79FA,RTE-32F0E94F|RTE-842CC51F|RTE-B5BE3EA8|RTE-EF6F0110|RTE-D5B7DEF5,ACT-DD3ED62E|ACT-480A6546|ACT-ADB13586|ACT-516B220E|ACT-D404B1E6,This location shows a high-risk pattern (score 65.3) with coded communication signals detected in associated messages.
INCIDENT,INC-B0143C0C,65.04,68.88,HIGH,83.62,88.53,36.65,13.33,0.0,25.0,4,TRADE|ROUTE|ENTITY|LINGUISTIC,INC-B0143C0C,RTE-15641305,ACT-2F205955,This incident shows a high-risk pattern (score 65.0).
INCIDENT,INC-1773DDC0,64.19,71.61,MONITOR,82.24,80.62,39.85,20.0,0.0,25.0,4,TRADE|ROUTE|ENTITY|LINGUISTIC,INC-1773DDC0,RTE-844D2BD8,ACT-EBD0B65D,This incident exhibits risk indicators (score 64.2).
LOCATION,Durban,64.17,78.02,MONITOR,35.6,65.44,79.97,72.77,0.0,40.0,4,TRADE|ROUTE|ENTITY|LINGUISTIC,INC-1C5B91BF|INC-A23E05D2|INC-8FBA0CAB|INC-E8CE8DB8|INC-519C9B4B|INC-7A314C1F|INC-4832DCE1|INC-3B7B78A7|INC-146BDA30|INC-BBF6FF7D,RTE-68716855|RTE-3BE0D749|RTE-F534A60F|RTE-5A090E6C|RTE-12678A58,ACT-4C5661F3|ACT-F513E9F2|ACT-2DA4F2E3|ACT-DUP-0008|ACT-7494AE24,This location exhibits risk indicators (score 64.2) with coded communication signals detected in associated messages.
ACTOR,ACT-0BE618C7,63.39,76.51,MONITOR,61.27,77.1,27.76,64.2,0.0,30.0,4,TRADE|ROUTE|ENTITY|LINGUISTIC,INC-7EE564E7|INC-BBF6FF7D|INC-9B509137|INC-C54BDAF9|INC-07FD8D0D|INC-2C59B619|INC-44A7CA78|INC-006A0A35,RTE-8F0A4EBD|RTE-BE75B5F4|RTE-857F6451|RTE-844D2BD8|RTE-E5F5E120,ACT-0BE618C7,This actor exhibits risk indicators (score 63.4) with coded communication signals detected in associated messages.
INCIDENT,INC-8946B5F9,63.22,73.67,MONITOR,63.62,88.53,44.54,26.67,0.0,25.0,4,TRADE|ROUTE|ENTITY|LINGUISTIC,INC-8946B5F9,RTE-15641305,ACT-DUP-0001,This incident exhibits risk indicators (score 63.2).
ROUTE,RTE-FB4EE4BA,63.08,82.28,MONITOR,47.1,63.43,66.29,60.0,0.0,45.0,4,TRADE|ROUTE|ENTITY|LINGUISTIC,INC-5E8DF0E8|INC-F3B15553|INC-01D7FC4F|INC-1D3F2B36|INC-60F32002|INC-BD8D0EED|INC-9E289A1E|INC-1531B1ED|INC-060C103D|INC-0EBE2272,RTE-FB4EE4BA,ACT-A9F1176D|ACT-A19B3B13|ACT-EBD0B65D|ACT-CFAB48FB|ACT-6F081E40,This route exhibits risk indicators (score 63.1) with coded communication signals detected in associated messages.
ACTOR,ACT-DUP-0001,62.26,78.14,MONITOR,59.62,81.7,44.54,45.0,0.0,15.0,4,TRADE|ROUTE|ENTITY|LINGUISTIC,INC-6D25D6CE|INC-3911A5DD|INC-C34BD297|INC-8946B5F9|INC-DABFAEBC|INC-C9972064|INC-8D27A117|INC-EEE150DB,RTE-BE75B5F4|RTE-5A090E6C|RTE-F51C2F2E|RTE-15641305|RTE-D37D6F20,ACT-DUP-0001,This actor exhibits risk indicators (score 62.3).
INCIDENT,INC-35C14236,61.98,68.91,MONITOR,85.0,84.44,67.45,0.0,0.0,25.0,3,TRADE|ROUTE|ENTITY,INC-35C14236,RTE-F51C2F2E,ACT-A3B509D1,This incident exhibits risk indicators (score 62.0).
INCIDENT,INC-024F87A5,61.86,72.07,MONITOR,67.24,80.62,55.99,13.33,0.0,25.0,4,TRADE|ROUTE|ENTITY|LINGUISTIC,INC-024F87A5,RTE-844D2BD8,ACT-DUP-0002,This incident exhibits risk indicators (score 61.9).
INCIDENT,INC-DA76F294,61.86,72.07,MONITOR,67.24,80.62,55.99,13.33,0.0,25.0,4,TRADE|ROUTE|ENTITY|LINGUISTIC,INC-DA76F294,RTE-844D2BD8,ACT-DUP-0002,This incident exhibits risk indicators (score 61.9).
ACTOR,ACT-EBD0B65D,61.47,77.05,MONITOR,55.62,84.25,39.85,46.82,0.0,15.0,4,TRADE|ROUTE|ENTITY|LINGUISTIC,INC-01D7FC4F|INC-1773DDC0|INC-43C37A4A|INC-0153BECF|INC-FD151C94|INC-A99ECD5A,RTE-68716855|RTE-FB4EE4BA|RTE-22651175|RTE-844D2BD8,ACT-EBD0B65D,This actor exhibits risk indicators (score 61.5).
INCIDENT,INC-EF857B06,61.32,69.29,MONITOR,68.62,88.53,36.88,13.33,0.0,25.0,4,TRADE|ROUTE|ENTITY|LINGUISTIC,INC-EF857B06,RTE-15641305,ACT-5BCEA423,This incident exhibits risk indicators (score 61.3).
ACTOR,ACT-A19B3B13,61.27,76.2,MONITOR,52.38,79.49,29.09,59.55,0.0,30.0,4,TRADE|ROUTE|ENTITY|LINGUISTIC,INC-CC3301EE|INC-6E06FEF9|INC-4C54C68E|INC-37FAC3CA|INC-1531B1ED|INC-D360954F|INC-F0F43572,RTE-15641305|RTE-05837773|RTE-FB4EE4BA|RTE-9EC78713,ACT-A19B3B13,This actor exhibits risk indicators (score 61.3) with coded communication signals detected in associated messages.
INCIDENT,INC-D7A578CB,61.17,71.19,MONITOR,65.0,84.44,48.72,13.33,0.0,25.0,4,TRADE|ROUTE|ENTITY|LINGUISTIC,INC-D7A578CB,RTE-F51C2F2E,ACT-DUP-0007,This incident exhibits risk indicators (score 61.2).
INCIDENT,INC-4C54C68E,61.15,69.65,MONITOR,68.62,88.53,29.09,20.0,0.0,25.0,4,TRADE|ROUTE|ENTITY|LINGUISTIC,INC-4C54C68E,RTE-15641305,ACT-A19B3B13,This incident exhibits risk indicators (score 61.2).
INCIDENT,INC-6E06FEF9,61.15,69.65,MONITOR,68.62,88.53,29.09,20.0,0.0,25.0,4,TRADE|ROUTE|ENTITY|LINGUISTIC,INC-6E06FEF9,RTE-15641305,ACT-A19B3B13,This incident exhibits risk indicators (score 61.2).
INCIDENT,INC-431E4BE0,61.12,71.12,MONITOR,70.0,84.44,26.74,26.67,0.0,25.0,4,TRADE|ROUTE|ENTITY|LINGUISTIC,INC-431E4BE0,RTE-F51C2F2E,ACT-5535B8FF,This incident exhibits risk indicators (score 61.1).
INCIDENT,INC-403FDB4C,60.46,67.07,MONITOR,83.62,88.53,59.49,0.0,0.0,15.0,3,TRADE|ROUTE|ENTITY,INC-403FDB4C,RTE-15641305,ACT-DUP-0006,This incident exhibits risk indicators (score 60.5).
INCIDENT,INC-4187585A,60.38,71.3,MONITOR,50.0,84.44,68.47,13.33,0.0,25.0,4,TRADE|ROUTE|ENTITY|LINGUISTIC,INC-4187585A,RTE-F51C2F2E,ACT-DUP-0004,This incident exhibits risk indicators (score 60.4).
INCIDENT,INC-A8E89DAC,60.26,66.59,MONITOR,85.0,84.44,55.99,0.0,0.0,25.0,3,TRADE|ROUTE|ENTITY,INC-A8E89DAC,RTE-F51C2F2E,ACT-DUP-0002,This incident exhibits risk indicators (score 60.3).
INCIDENT,INC-37FAC3CA,60.15,67.93,MONITOR,68.62,88.53,29.09,13.33,0.0,25.0,4,TRADE|ROUTE|ENTITY|LINGUISTIC,INC-37FAC3CA,RTE-15641305,ACT-A19B3B13,This incident exhibits risk indicators (score 60.2).
INCIDENT,INC-30BA3CAE,60.12,69.59,MONITOR,70.0,84.44,26.74,20.0,0.0,25.0,4,TRADE|ROUTE|ENTITY|LINGUISTIC,INC-30BA3CAE,RTE-F51C2F2E,ACT-5535B8FF,This incident exhibits risk indicators (score 60.1).
INCIDENT,INC-D079FCB9,60.12,73.71,MONITOR,81.55,61.73,25.31,40.0,0.0,25.0,4,TRADE|ROUTE|ENTITY|LINGUISTIC,INC-D079FCB9,RTE-32F0E94F,ACT-EA441661,This incident exhibits risk indicators (score 60.1).
INCIDENT,INC-DC1DE291,60.1,73.4,MONITOR,48.62,88.53,48.72,26.67,0.0,25.0,4,TRADE|ROUTE|ENTITY|LINGUISTIC,INC-DC1DE291,RTE-15641305,ACT-DUP-0007,This incident exhibits risk indicators (score 60.1).
INCIDENT,INC-17D6DB38,60.0,67.61,MONITOR,85.0,84.44,60.92,0.0,0.0,15.0,3,TRADE|ROUTE|ENTITY,INC-17D6DB38,RTE-F51C2F2E,ACT-DUP-0005,This incident exhibits risk indicators (score 60.0).
INCIDENT,INC-EA003C6C,59.97,70.4,MONITOR,65.0,84.44,14.05,40.0,0.0,25.0,4,TRADE|ROUTE|ENTITY|LINGUISTIC,INC-EA003C6C,RTE-F51C2F2E,ACT-A7290540,This incident exhibits risk indicators (score 60.0).
INCIDENT,INC-A251BBF1,59.75,75.03,MONITOR,64.48,63.43,68.47,20.0,0.0,25.0,4,TRADE|ROUTE|ENTITY|LINGUISTIC,INC-A251BBF1,RTE-FB4EE4BA,ACT-DUP-0004,This incident exhibits risk indicators (score 59.7).
INCIDENT,INC-4A1D04B0,59.54,65.8,MONITOR,83.62,88.53,53.37,0.0,0.0,15.0,3,TRADE|ROUTE|ENTITY,INC-4A1D04B0,RTE-15641305,ACT-DUP-0009,This incident exhibits risk indicators (score 59.5).
INCIDENT,INC-BE5B30E7,59.47,66.89,MONITOR,85.0,84.44,57.39,0.0,0.0,15.0,3,TRADE|ROUTE|ENTITY,INC-BE5B30E7,RTE-F51C2F2E,ACT-DUP-0010,This incident exhibits risk indicators (score 59.5).
INCIDENT,INC-43C37A4A,59.44,70.54,MONITOR,67.24,80.62,39.85,13.33,0.0,25.0,4,TRADE|ROUTE|ENTITY|LINGUISTIC,INC-43C37A4A,RTE-844D2BD8,ACT-EBD0B65D,This incident exhibits risk indicators (score 59.4).
INCIDENT,INC-01D7FC4F,59.21,72.6,MONITOR,79.48,63.43,39.85,20.0,0.0,25.0,4,TRADE|ROUTE|ENTITY|LINGUISTIC,INC-01D7FC4F,RTE-FB4EE4BA,ACT-EBD0B65D,This incident exhibits risk indicators (score 59.2).
ROUTE,RTE-05837773,58.97,75.55,MONITOR,43.44,34.04,59.0,85.0,0.0,60.0,4,TRADE|ROUTE|ENTITY|LINGUISTIC,INC-A90DF55B|INC-D360954F|INC-60A75744|INC-1798C080|INC-9F6FAE88|INC-83618E73|INC-B640A155,RTE-05837773,ACT-5535B8FF|ACT-E039AAEB|ACT-F70E04EC|ACT-A19B3B13|ACT-1D992B5E,This route exhibits risk indicators (score 59.0) with coded communication signals detected in associated messages.
INCIDENT,INC-2E6A776F,58.9,80.44,MONITOR,53.97,58.56,68.47,40.0,0.0,25.0,4,TRADE|ROUTE|ENTITY|LINGUISTIC,INC-2E6A776F,RTE-D37D6F20,ACT-DUP-0004,This incident exhibits risk indicators (score 58.9).
ACTOR,ACT-5BCEA423,58.89,76.19,MONITOR,36.07,77.21,36.88,60.24,0.0,40.0,4,TRADE|ROUTE|ENTITY|LINGUISTIC,INC-A3DFB62E|INC-EF857B06|INC-60B97CF6|INC-69DA945D,RTE-4424DBF1|RTE-15641305,ACT-5BCEA423,This actor exhibits risk indicators (score 58.9) with coded communication signals detected in associated messages.
