shipment_id,incident_id,actor_id,vehicle_id,transport_type,departure_date,arrival_date,shipment_weight,status
SHP-96435D83,INC-1C5B91BF,ACT-6C6CC66E,VEH-B4220363,Road,2024-01-04,2024-02-02,35.65,In Transit
SHP-DE4B5474,INC-0EC4B271,ACT-8AF11CFA,VEH-D1F669CE,Road,2024-01-05,2024-01-16,30.3,Delivered
SHP-74A5F0C1,INC-73CA5741,ACT-99F0286C,VEH-F57142D5,Sea Freight,2024-01-10,2024-01-18,75.73,Delivered
SHP-42C4BEC1,INC-5A9D0819,ACT-EB994163,VEH-0051BCB6,Road,2024-01-13,2024-01-24,25.5,Delayed
SHP-6CF2ABAD,INC-E68D0BDF,ACT-ADB13586,VEH-46969AFB,Rail,2024-01-22,2024-03-05,42.13,Intercepted
SHP-42B8D449,INC-5E8DF0E8,ACT-BEF7869A,VEH-B9296496,Mixed,2024-01-24,2024-02-23,44.24,Delivered
SHP-BAEB165D,INC-15999B13,ACT-D404B1E6,VEH-CF6FE00C,Road,2024-01-30,2024-03-10,18.15,Intercepted
SHP-EC22AD55,INC-CC3301EE,ACT-2AF63B3F,VEH-AA99CADF,Air Cargo,2024-02-08,2024-03-01,80.87,Delayed
SHP-CEEBF801,INC-F3B15553,ACT-F134FC9B,VEH-58A0266E,Road,2024-02-10,2024-03-21,28.29,Intercepted
SHP-CE318B37,INC-0D9BA78C,ACT-516B220E,VEH-8E8C7BFC,Rail,2024-02-14,2024-03-20,16.77,Delivered
SHP-D5AABC11,INC-A23E05D2,ACT-71CD333C,VEH-7815991E,Rail,2024-02-14,2024-02-28,53.67,Delivered
SHP-23ADFF82,INC-CFDECC5B,ACT-0DD6E664,VEH-42F5939A,Road,2024-02-20,2024-03-26,14.75,In Transit
SHP-1EE9C546,INC-8FBA0CAB,ACT-024E3B6A,VEH-6EC350B3,Road,2024-02-27,2024-04-09,33.97,Delivered
SHP-3A949193,INC-5ED074E5,ACT-DBBBE5BC,VEH-CF6FE00C,Sea Freight,2024-03-08,2024-03-26,32.84,Delivered
SHP-E616E830,INC-01D7FC4F,ACT-DUP-0007,VEH-0051BCB6,Sea Freight,2024-03-11,2024-03-26,88.0,Intercepted
SHP-019B6CE3,INC-A8C18B51,ACT-130BC3BE,VEH-CA86CAF6,Rail,2024-03-20,2024-05-01,50.77,Delivered
SHP-7E40A6A5,INC-6DD32668,ACT-9150A102,VEH-D1F669CE,Rail,2024-03-22,2024-04-03,32.38,Delayed
SHP-1A953FFD,INC-0900EA33,ACT-0E08ABDD,VEH-46969AFB,Mixed,2024-03-25,2024-05-04,69.13,In Transit
SHP-8E1810B8,INC-1632354A,ACT-71CD333C,VEH-2B492B5D,Rail,2024-03-25,2024-04-09,115.72,Delayed
SHP-1786A93B,INC-A3DFB62E,ACT-2DA4F2E3,VEH-79A71B87,Mixed,2024-03-26,2024-05-05,54.71,Delivered
SHP-F93D8396,INC-C3E926DF,ACT-DUP-0009,VEH-BA81F106,Sea Freight,2024-03-28,2024-04-12,33.43,In Transit
SHP-96DFE8DE,INC-3B76D32D,ACT-525CFB31,VEH-E89C1A00,Air Cargo,2024-03-28,2024-05-07,10.17,Delivered
SHP-F5C3EBC0,INC-023A4B6B,ACT-4DBAB638,VEH-386D9F56,Mixed,2024-04-03,2024-04-30,12.7,Intercepted
SHP-476BF43E,INC-D24AB0E3,ACT-76F7BDE8,VEH-7769BEB2,Mixed,2024-04-08,2024-04-20,25.16,Intercepted
SHP-E2ACDF8E,INC-A50D090A,ACT-F0092B27,VEH-17A9FDFD,Mixed,2024-04-16,2024-05-01,19.13,Delivered
SHP-170E7FE1,INC-E8CE8DB8,ACT-ADB13586,VEH-3E4BA0D6,Air Cargo,2024-04-16,2024-05-30,27.99,Intercepted
SHP-A96B4615,INC-2DDB92C7,ACT-16E31CC7,VEH-B5D8E814,Sea Freight,2024-04-18,2024-05-31,34.85,In Transit
SHP-1908FEF6,INC-5B989C61,ACT-A7290540,VEH-89A02B74,Mixed,2024-04-20,2024-06-02,53.34,Delayed
SHP-30845996,INC-7EE564E7,ACT-024E3B6A,VEH-89A02B74,Road,2024-04-20,2024-04-28,31.08,Delayed
SHP-52C10382,INC-B0143C0C,ACT-8AF11CFA,VEH-B5D8E814,Road,2024-04-25,2024-05-17,51.31,Delayed
SHP-6CB9CADF,INC-F315480D,ACT-3B25DA0A,VEH-D1F669CE,Air Cargo,2024-04-26,2024-05-07,35.09,Delayed
SHP-22A387BD,INC-60CEEFAB,ACT-C48421F9,VEH-7DDE0FB2,Air Cargo,2024-04-26,2024-05-29,5.6,Intercepted
SHP-42394846,INC-2E6A776F,ACT-7494AE24,VEH-F57142D5,Road,2024-04-27,2024-06-11,14.22,Intercepted
